Number Plate OCR Evaluation
============================

Total Images Checked: 875
Accuracy: 0.1909

Detailed Classification Report:
                      precision    recall  f1-score   support

                           0.00      0.00      0.00         0
         '™N74AH1413       0.00      0.00      0.00         0
           214CE3103       0.00      0.00      0.00         0
          21BH0001AA       0.00      0.00      0.00         1
           22BH1427B       0.00      0.00      0.00         1
           22BH1757C       1.00      1.00      1.00         1
           22BH2808F       0.00      0.00      0.00         1
          22BH2808FI       0.00      0.00      0.00         0
           22BH4555D       0.00      0.00      0.00         1
           22BH8092E       1.00      1.00      1.00         1
   234.JPGRJ14YC3009       0.00      0.00      0.00         1
   235.JPGRJ14CN6419       0.00      0.00      0.00         1
   237.JPGRJ148C5315       0.00      0.00      0.00         1
   239.JPGRJ14CQ3981       0.00      0.00      0.00         1
   240.JPGRJ14QC9673       0.00      0.00      0.00         1
   241.JPGRJ14UD2000       0.00      0.00      0.00         1
   242.JPGRJ45CK1303       0.00      0.00      0.00         1
   243.JPGRJ45CL6966       0.00      0.00      0.00         1
   244.JPGRJ14VC3804       0.00      0.00      0.00         1
   246.JPGRJ14UH7714       0.00      0.00      0.00         1
   247.JPGRJ14LC5540       0.00      0.00      0.00         1
   248.JPGRJ45CJ3253       0.00      0.00      0.00         1
   249.JPGRJ14CP6854       0.00      0.00      0.00         1
         24BH0001AA|       0.00      0.00      0.00         0
   250.JPGRJ45CL3942       0.00      0.00      0.00         1
   251.JPGRJ45CH2013       0.00      0.00      0.00         1
   252.JPGRJ45CN0760       0.00      0.00      0.00         1
   253.JPGRJ14CF9305       0.00      0.00      0.00         1
   254.JPGRJ14TE0155       0.00      0.00      0.00         1
   255.JPGRJ14CC6396       0.00      0.00      0.00         1
   256.JPGRJ45CH4653       0.00      0.00      0.00         1
   257.JPGRJ45CJ5975       0.00      0.00      0.00         1
   258.JPGRJ45CJ3755       0.00      0.00      0.00         1
   259.JPGRJ14UJ7600       0.00      0.00      0.00         1
   260.JPGRJ45CL7457       0.00      0.00      0.00         1
   261.JPGRJ45CD0019       0.00      0.00      0.00         1
   262.JPGRJ14CE1623       0.00      0.00      0.00         1
   263.JPGRJ45CM1052       0.00      0.00      0.00         1
   264.JPGDL1RTA0784       0.00      0.00      0.00         1
   265.JPGRJ14CP6297       0.00      0.00      0.00         1
   266.JPGRJ14UE9133       0.00      0.00      0.00         1
   267.JPGRJ13CD5961       0.00      0.00      0.00         1
   268.JPGRJ20CB6596       0.00      0.00      0.00         1
   269.JPGRJ05UA1774       0.00      0.00      0.00         1
   270.JPGRJ14CY9059       0.00      0.00      0.00         1
   271.JPGRJ45CS8071       0.00      0.00      0.00         1
   272.JPGRJ14QC5050       0.00      0.00      0.00         1
   273.JPGHR26AX0894       0.00      0.00      0.00         1
   274.JPGRJ14CJ0098       0.00      0.00      0.00         1
   275.JPGRJ45CN5353       0.00      0.00      0.00         1
   276.JPGRJ45CK5945       0.00      0.00      0.00         1
   277.JPGRJ45CD4649       0.00      0.00      0.00         1
   278.JPGRJ14VC1636       0.00      0.00      0.00         1
   279.JPGRJ14CV3353       0.00      0.00      0.00         1
           27BH45550       0.00      0.00      0.00         0
    280.JPGHR19R0727       0.00      0.00      0.00         1
   281.JPGRJ14NC5490       0.00      0.00      0.00         1
   282.JPGRJ01CB5131       0.00      0.00      0.00         1
   283.JPGRJ14CV7829       0.00      0.00      0.00         1
   284.JPGRJ14CR3822       0.00      0.00      0.00         1
   285.JPGRJ14CE8657       0.00      0.00      0.00         1
   286.JPGRJ45CN4075       0.00      0.00      0.00         1
   287.JPGRJ13CC9939       0.00      0.00      0.00         1
   288.JPGRJ45CF8419       0.00      0.00      0.00         1
    289.JPGRJ42C4092       0.00      0.00      0.00         1
   290.JPGRJ45CL9939       0.00      0.00      0.00         1
   291.JPGRJ34CA6874       0.00      0.00      0.00         1
   292.JPGRJ14AC6424       0.00      0.00      0.00         1
   293.JPGKL07BZ7434       0.00      0.00      0.00         1
          59450)1430       0.00      0.00      0.00         0
          6J06HD3977       0.00      0.00      0.00         0
           6J38B5194       0.00      0.00      0.00         0
         9744002563,       0.00      0.00      0.00         0
               :HACE       0.00      0.00      0.00         0
            AECA3067       0.00      0.00      0.00         0
           AJACE9904       0.00      0.00      0.00         0
          AR26EL3553       0.00      0.00      0.00         0
              ASA809       0.00      0.00      0.00         0
                  AT       0.00      0.00      0.00         0
          AY14C17372       0.00      0.00      0.00         0
          AYIACZ3493       0.00      0.00      0.00         0
            BICI539)       0.00      0.00      0.00         0
               BITEP       0.00      0.00      0.00         0
          BLSCAEZ578       0.00      0.00      0.00         0
          BR01BS2863       0.00      0.00      0.00         1
           BR06Z9436       1.00      1.00      1.00         1
          BRO1BS2863       0.00      0.00      0.00         0
          B{4CE8203:       0.00      0.00      0.00         0
          CH01AE1388       0.00      0.00      0.00         1
          CH01BC3322       0.00      0.00      0.00         1
          CH01BS7602       0.00      0.00      0.00         1
          CH01CL9367       0.00      0.00      0.00         1
         CHO1BS7602}       0.00      0.00      0.00         0
         CHO1CL9367|       0.00      0.00      0.00         0
          CHOTAE1388       0.00      0.00      0.00         0
